open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp,Halving
60609.49795,60780.49968,56555.29405,58254.00985,48439780271,1.15E+12,19692793,0.047263124,2024-05-01 23:59:59.999000+00:00,
58253.7047,59602.29803,56937.20417,59123.43225,32711813559,1.16E+12,19693221,0.002173384,2024-05-02 23:59:59.999000+00:00,
59122.30085,63320.50339,58848.31206,62889.83674,33172023048,1.24E+12,19694029.83,0.00410717,2024-05-03 23:59:59.999000+00:00,
62891.03055,64494.95843,62599.35315,63891.47292,20620477992,1.26E+12,19694408.72,0.001923842,2024-05-04 23:59:59.999000+00:00,
63892.45499,64610.89021,62955.30648,64031.13281,18296164805,1.26E+12,19696729.63,0.011784657,2024-05-05 23:59:59.999000+00:00,
64038.31356,65494.90172,62746.23845,63161.95026,28697928697,1.24E+12,19695162.55,-0.007956062,2024-05-06 23:59:59.999000+00:00,
63162.7634,64390.45674,62285.97918,62334.81835,25930730982,1.23E+12,19694605.52,-0.002828246,2024-05-07 23:59:59.999000+00:00,
62332.64251,62986.08424,60877.12752,61187.9414,26088172222,1.21E+12,19696727.08,0.010772254,2024-05-08 23:59:59.999000+00:00,
61191.20053,63404.9153,60648.07542,63049.95926,25453338161,1.24E+12,19697749.34,0.005190009,2024-05-09 23:59:59.999000+00:00,
63055.191,63446.74251,60208.78155,60792.77679,27804954694,1.20E+12,19696765.99,-0.004992196,2024-05-10 23:59:59.999000+00:00,
60793.35701,61451.15373,60492.62537,60793.7096,13842272968,1.20E+12,19696988.75,0.001130942,2024-05-11 23:59:59.999000+00:00,
60793.50203,61818.15488,60632.60244,61448.39467,13800459405,1.21E+12,19698411.19,0.007221643,2024-05-12 23:59:59.999000+00:00,
61451.21851,63422.66038,60769.84067,62901.44746,27889181179,1.24E+12,19697757.11,-0.003320506,2024-05-13 23:59:59.999000+00:00,
62900.77401,63092.12516,61123.76653,61552.79014,28186271527,1.21E+12,19698748.94,0.005035246,2024-05-14 23:59:59.999000+00:00,
